id,name,content,description,publishedAt,title,url,urlToImage
1,HuffPost,"As protests over the death of George Floyd continued around the country, celebrities including Ariana Grande, Halsey, Tessa Thompson, Nick Cannon and Timothée Chalamet took to the streets to protest … [+4861 chars]",Celebrities joined those who took to the streets demanding justice. Halsey and “Insecure” actor Kendrick Sampson reported being hit by rubber bullets.,2020-06-01T16:22:40Z,"Ariana Grande, Tessa Jackson, Halsey Join George Floyd Protests - HuffPost",https://www.huffpost.com/entry/celebrities-attend-george-floyd-protests_n_5ed48c40c5b6d98601294b67,https://img.huffingtonpost.com/asset/5ed49255220000611f829b94.jpeg?cache=SYV3TH6ew7&ops=1200_630
2,Politico,"Protests across the country shifted to riots late last week and throughout the weekend in response to the death of George Floyd, a 46-year-old black man who died after a Minneapolis police officer he… [+1386 chars]","“This president and his focus on bringing safety and security and prosperity to America has never been more laser-focused,” Brooke Rollins said.",2020-06-01T16:13:20Z,Trump’s domestic policy chief says W.H. ‘working through’ proposals to unify country - POLITICO,https://www.politico.com/news/2020/06/01/white-house-proposals-to-unify-country-293714,https://cf-images.us-east-1.prod.boltdns.net/v1/static/1155968404/6fb4d91a-d757-41ca-844e-51e2a94bf2b9/e7ff6eb0-f3cf-4e64-a6d0-d7a93e094bf2/1280x720/match/image.jpg
3,NBC News,"Minnesota Attorney General Keith Ellison, who has been appointed to lead the prosecution of any cases arising from the death of George Floyd, said he plans to charge the four officers involved to ""th… [+1991 chars]","Minnesota Attorney General Keith Ellison, lead prosecutor of cases arising from George Floyd's death, will charge the officers involved to ""the highest degree of accountability.""",2020-06-01T16:02:28Z,Minnesota AG says 4 officers will be charged to 'highest degree of accountability' - NBC News,https://www.nbcnews.com/news/us-news/minnesota-ag-says-4-officers-will-be-charged-highest-degree-n1220956,https://media4.s-nbcnews.com/j/newscms/2020_22/3372801/200531-keith-ellison-ew-822p_38112966ab1f9902e82022d3ef28895b.nbcnews-fp-1200-630.jpg
4,CBS Sports,Major League Baseball and the MLB Players Association will soon enter their fourth week of negotiations concerning the potential for a modified 2020 season in response to the spread of the novel coro… [+1664 chars],The union has submitted a proposal to the league,2020-06-01T15:59:08Z,"MLBPA proposal for 2020 MLB season includes 114-game season and player opt-out, per report - CBS Sports",https://www.cbssports.com/mlb/news/mlbpa-proposal-for-2020-mlb-season-includes-114-game-season-and-player-opt-out-per-report/,https://sportshub.cbsistatic.com/i/r/2020/05/05/69801bde-7e20-467f-88a7-fb5980113105/thumbnail/1200x675/89fbc4bd5df10aab5c7f3756f5eab2fb/tony-clark.jpg
5,CNN,"(CNN)President Donald Trump, agitated and distressed after three nights of violent protests in dozens of cities across the country, including outside of his home, told the nation's governors in a vid… [+8147 chars]","President Donald Trump, agitated and distressed after three nights of violent protests in dozens of cities across the country, including outside of his home, told the nation's governors in a video teleconference Monday to aggressively target violent protester…",2020-06-01T15:55:01Z,Trump encourages governors to use aggressive tactics on protesters - CNN,https://www.cnn.com/2020/06/01/politics/donald-trump-race-police/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200531150916-donald-trump-0530-super-tease.jpg
6,YouTube,"New York Governor Andrew Cuomo is giving an update Monday on the state's response to the coronavirus pandemic. On Sunday, Cuomo used his daily coronavirus briefing on Sunday to plead for calm after a… [+1219 chars]","New York Governor Andrew Cuomo is giving an update Monday on the state's response to the coronavirus pandemic. On Sunday, Cuomo used his daily coronavirus br...",2020-06-01T15:54:40Z,Watch live: New York Governor Andrew Cuomo holds news conference - CBS News,https://www.youtube.com/watch?v=8VMgaIAdRXI,https://i.ytimg.com/vi/8VMgaIAdRXI/maxresdefault.jpg
7,The Verge,"A quicker way to control your smart lights
Illustration by Alex Castro / The Verge
Images from leaked developer documentation have just given us our best look yet at Android 11s new power button me… [+1667 chars]","Leaked images have given us our best look yet at Android 11’s new power button menu. It includes its new smart home shortcuts called “Quick Controls,” which can control everything from lights to thermostats.",2020-06-01T15:31:45Z,"Android 11’s power button menu leaks, showing new smart home Quick Controls - The Verge",https://www.theverge.com/2020/6/1/21276854/android-11-power-menu-quick-controls-smart-home-shortcuts-google-pay,https://cdn.vox-cdn.com/thumbor/PWr_pGyocsgGMsGbG4iM0ZYUmJM=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19732266/acastro_200219_1777_android_11_0001.jpg
8,CNN,,Elon Musk's SpaceX isn't publicly traded. But investors found another way to celebrate this weekend's successful Dragon launch and docking at the International Space Station.,2020-06-01T15:25:05Z,Virgin Galactic stock soars following SpaceX success - CNN,https://www.cnn.com/2020/06/01/investing/virgin-galactic-stock-spacex/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200219093742-02-richard-branson-nyse-1028-super-tease.jpg
9,Theguardian.comworld,"Hong Kong police have formally banned this weeks vigil for the Tiananmen Square massacre, citing Covid-19 measures.
The move had been expected, especially after the Hong Kong government extended its… [+2484 chars]",Announcement means event will not be held for first time since massacre in 1989,2020-06-01T15:13:57Z,"Hong Kong police ban Tiananmen memorial vigil, citing Covid-19 - The Guardian",https://amp.theguardian.comworld/2020/jun/01/hong-kong-police-ban-tiananmen-memorial-vigil-covid-19,https://i.guim.co.uk/img/media/02a31921cc70e590f93424fda1b58200d7223d2f/0_177_4242_2545/master/4242.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=fd6498ab27d3f9d53af85b58e83c75e9
10,CNN,,"Monday marks the first day of the Atlantic hurricane season, which runs through November 30, and another named storm is brewing in the Gulf of Mexico.",2020-06-01T14:55:03Z,The third named storm of the year is brewing on the first day of hurricane season - CNN,https://www.cnn.com/2020/06/01/weather/cristobal-forecast-depression-storm-atlantic-hurricane-season/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200601091106-weather-tropical-satellite-gulf-of-mexico-06012020-super-tease.jpg
